id_municipio,n_municipio,fk_estado
52010001,AGUASCALIENTES,5201
52010002,ASIENTOS,5201
52010003,CALVILLO,5201
52010004,COSIO,5201
52010005,JESUS MARIA,5201
52010006,PABELLON DE ARTEAGA,5201
52010007,RINCON DE ROMOS,5201
52010008,SAN JOSE DE GRACIA,5201
52010009,TEPEZALA,5201
52010010,EL LLANO,5201
52010011,SAN FRANCISCO DE LOS ROMO,5201
52020001,ENSENADA,5202
52020002,MEXICALI,5202
52020003,TECATE,5202
52020004,TIJUANA,5202
52020005,PLAYAS DE ROSARITO,5202
52030001,COMONDU,5203
52030005,LORETO,5203
52030003,LA PAZ,5203
52030004,LOS CABOS,5203
52030002,MULEGE,5203
52040002,CAMPECHE,5204
52040006,HOPELCHEN,5204
52040010,XPUJIL,5204
52040004,CHAMPOTON,5204
52320059,CALAKMUL,5232
52320061,ESCARCEGA,5232
52040003,CIUDAD DEL CARMEN,5204
52040007,PALIZADA,5204
52040009,ESCARCEGA,5204
52040011,CANDELARIA,5204
52040001,CALKINI,5204
52040005,HECELCHAKAN,5204
52040008,TENABO,5204
52070019,COMITAN DE DOMINGUEZ,5207
52070030,CHICOMUSELO,5207
52070034,FRONTERA COMALAPA,5207
52070041,LA INDEPENDENCIA,5207
52070052,LAS MARGARITAS,5207
52070083,SOCOLTENANGO,5207
52070099,LA TRINITARIA,5207
52070104,TZIMOL,5207
52070113,ALDAMA,5207
52070119,SANTIAGO EL PINAR,5207
52070006,AMATENANGO DE LA FRONTERA,5207
52070010,BEJUCAL DE OCAMPO,5207
52070011,BELLA VISTA,5207
52070036,LA GRANDEZA,5207
52070053,MAZAPA DE MADERO,5207
52070057,MOTOZINTLA,5207
52070070,EL PORVENIR,5207
52070080,SILTEPEC,5207
52070016,CATAZAJA,5207
52070031,CHILON,5207
52070050,LA LIBERTAD,5207
52070059,OCOSINGO,5207
52070065,PALENQUE,5207
52070076,SABANILLA,5207
52070077,SALTO DE AGUA,5207
52070082,SITALA,5207
52070095,TILA,5207
52070100,TUMBALA,5207
52070109,YAJALON,5207
52070005,AMATAN,5207
52070013,BOCHIL,5207
52070014,EL BOSQUE,5207
52070025,CHAPULTENANGO,5207
52070033,FRANCISCO LEON,5207
52070040,HUIXTLA,5207
52070042,IXHUATAN,5207
52070043,IXTACOMITAN,5207
52070045,IXTAPANGAJOYA,5207
52070047,JITOTOL,5207
52070048,JUAREZ,5207
52070062,OSTUACAN,5207
52070067,PANTEPEC,5207
52070068,PICHUCALCO,5207
52070072,PUEBLO NUEVO SOLISTAHUACAN,5207
52070073,RAYON,5207
52070074,REFORMA,5207
52070081,SIMOJOVEL,5207
52070084,SOLOSUCHIAPA,5207
52070088,SUNUAPA,5207
52070090,TAPALAPA,5207
52070091,TAPILULA,5207
52070118,SAN ANDRES DURAZNAL,5207
52070004,ALTAMIRANO,5207
52070007,AMATENANGO DEL VALLE,5207
52070022,CHALCHIHUITAN,5207
52070023,CHAMULA,5207
52070024,CHANAL,5207
52070026,CHENALHO,5207
52070039,HUITIUPAN,5207
52070049,LARRAINZAR,5207
52070056,MITONTIC,5207
52070064,OXCHUC,5207
52070066,PANTELHO,5207
52070075,LAS ROSAS,5207
52070078,SAN CRISTOBAL DE LAS CASAS,5207
52070093,TENEJAPA,5207
52070094,TEOPISCA,5207
52070111,ZINACANTAN,5207
52070112,SAN JUAN CANCUC,5207
52070115,MARAVILLA TENEJAPA,5207
52070114,BENEMERITO DE LAS AMERICAS,5207
52070116,MARQUES DE COMILLAS,5207
52320071,OCOSINGO,5232
52070001,ACACOYAGUA,5207
52070003,ACAPETAHUA,5207
52070015,CACAHOATAN,5207
52070032,ESCUINTLA,5207
52070035,FRONTERA HIDALGO,5207
52070037,HUEHUETAN,5207
52070038,HUIXTAN,5207
52070051,MAPASTEPEC,5207
52070054,MAZATAN,5207
52070055,METAPA,5207
52070071,VILLA COMALTITLAN,5207
52070087,SUCHIATE,5207
52070089,TAPACHULA,5207
52070102,TUXTLA CHICO,5207
52070103,TUZANTAN,5207
52070105,UNION JUAREZ,5207
52070009,ARRIAGA,5207
52070069,PIJIJIAPAN,5207
52070097,TONALA,5207
52070002,ACALA,5207
52070012,BERRIOZABAL,5207
52070017,CINTALAPA,5207
52070018,COAPILLA,5207
52070021,COPAINALA,5207
52070027,CHIAPA DE CORZO,5207
52070028,CHIAPILLA,5207
52070029,CHICOASEN,5207
52070044,IXTAPA,5207
52070046,JIQUIPILAS,5207
52070058,NICOLAS RUIZ,5207
52070060,OCOTEPEC,5207
52070061,OCOZOCOAUTLA DE ESPINOSA,5207
52070063,OSUMACINTA,5207
52070079,SAN FERNANDO,5207
52070085,SOYALO,5207
52070086,SUCHIAPA,5207
52070092,TECPATAN,5207
52070098,TOTOLAPA,5207
52070101,TUXTLA GUTIERREZ,5207
52070106,VENUSTIANO CARRANZA,5207
52070110,SAN LUCAS,5207
52070008,ANGEL ALBINO CORZO,5207
52070020,LA CONCORDIA,5207
52070107,VILLA CORZO,5207
52070108,VILLAFLORES,5207
52070117,MONTECRISTO DE GUERRERO,5207
52080042,MANUEL BENAVIDES,5208
52080052,OJINAGA,5208
52080007,BALLEZA,5208
52080027,GUACHOCHI,5208
52080029,GUADALUPE Y CALVO,5208
52080010,BUENAVENTURA,5208
52080023,GALEANA,5208
52080005,ASCENSION,5208
52080013,CASAS GRANDES,5208
52080035,JANOS,5208
52080050,NUEVO CASAS GRANDES,5208
52080002,ALDAMA,5208
52080004,AQUILES SERDAN,5208
52080019,CHIHUAHUA,5208
52080022,DR. BELISARIO DOMINGUEZ,5208
52080024,SANTA ISABEL,5208
52080026,GRAN MORELOS,5208
52080049,NONOAVA,5208
52080057,SAN FRANCISCO DE BORJA,5208
52080061,SATEVO,5208
52080015,COYAME DEL SOTOL,5208
52080006,BACHINIVA,5208
52080012,CARICHI,5208
52080017,CUAUHTEMOC,5208
52080018,CUSIHUIRIACHI,5208
52080054,RIVA PALACIO,5208
52080011,CAMARGO,5208
52080016,LA CRUZ,5208
52080021,DELICIAS,5208
52080038,JULIMES,5208
52080045,MEOQUI,5208
52080055,ROSALES,5208
52080058,SAN FRANCISCO DE CONCHOS,5208
52080062,SAUCILLO,5208
52080001,AHUMADA,5208
52320058, ,5232
52080003,ALLENDE,5208
52080032,HIDALGO DEL PARRAL,5208
52080033,HUEJOTITAN,5208
52080044,MATAMOROS,5208
52080056,ROSARIO,5208
52080059,SAN FRANCISCO DEL ORO,5208
52080060,SANTA BARBARA,5208
52080064,EL TULE,5208
52080067,VALLE DE ZARAGOZA,5208
52080025,GOMEZ FARIAS,5208
52080034,IGNACIO ZARAGOZA,5208
52080040,MADERA,5208
52080048,NAMIQUIPA,5208
52080031,GUERRERO,5208
52080043,MATACHI,5208
52080063,TEMOSACHI,5208
52080014,CORONADO,5208
52080036,JIMENEZ,5208
52080039,LOPEZ,5208
52080008,BATOPILAS,5208
52080009,BOCOYNA,5208
52080020,CHINIPAS,5208
52080030,GUAZAPARES,5208
52080041,MAGUARICHI,5208
52080046,MORELOS,5208
52080047,MORIS,5208
52080051,OCAMPO,5208
52080065,URIQUE,5208
52080066,URUACHI,5208
52080028,GUADALUPE,5208
52080037,JUAREZ,5208
52080053,PRAXEDIS G. GUERRERO,5208
52050002,ACUÑA,5205
52050003,ALLENDE,5205
52050012,GUERRERO,5205
52050013,HIDALGO,5205
52050014,JIMENEZ,5205
52050019,MORELOS,5205
52050022,NAVA,5205
52050025,PIEDRAS NEGRAS,5205
52050037,VILLA UNION,5205
52050038,ZARAGOZA,5205
52050001,ABASOLO,5205
52050005,CANDELA,5205
52050006,CASTAÑOS,5205
52050007,CUATROCIENEGAS,5205
52050008,ESCOBEDO,5205
52050010,FRONTERA,5205
52050016,LAMADRID,5205
52050018,MONCLOVA,5205
52050021,NADADORES,5205
52050023,OCAMPO,5205
52050029,SACRAMENTO,5205
52050031,SAN BUENAVENTURA,5205
52050034,SIERRA MOJADA,5205
52050009,FRANCISCO I. MADERO,5205
52050017,MATAMOROS,5205
52050033,SAN PEDRO,5205
52050035,TORREON,5205
52050036,VIESCA,5205
52050015,JUAREZ,5205
52050020,MUZQUIZ,5205
52050026,PROGRESO,5205
52050028,SABINAS,5205
52050032,SAN JUAN DE SABINAS,5205
52050004,ARTEAGA,5205
52050011,GENERAL CEPEDA,5205
52050024,PARRAS,5205
52050027,RAMOS ARIZPE,5205
52050030,SALTILLO,5205
52060002,COLIMA,5206
52060003,COMALA,5206
52060004,COQUIMATLAN,5206
52060005,CUAUHTEMOC,5206
52060008,MINATITLAN,5206
52060010,VILLA DE ALVAREZ,5206
52060001,ARMERIA,5206
52060006,IXTLAHUACAN,5206
52060007,MANZANILLO,5206
52060009,TECOMAN,5206
52090002,AZCAPOTZALCO,5209
52090003,COYOACAN,5209
52090004,CUAJIMALPA DE MORELOS,5209
52090005,GUSTAVO A. MADERO,5209
52090006,IZTACALCO,5209
52090007,IZTAPALAPA,5209
52090008,LA MAGDALENA CONTRERAS,5209
52090009,MILPA ALTA,5209
